candidate,year,party,start,end
Cory Booker,2020,Democrat,2019-02-01,2020-01-13
Amy Klobuchar,2020,Democrat,2019-02-10,2020-03-02
Jay Inslee,2020,Democrat,2019-03-01,2019-08-21
John Hickenlooper,2020,Democrat,2019-03-04,2019-08-15
Wayne Messam,2020,Democrat,2019-03-13,2019-11-20
Beto O'Rourke,2020,Democrat,2019-03-14,2019-11-01
Mike Gravel,2020,Democrat,2019-04-02,2019-08-06
Tim Ryan,2020,Democrat,2019-04-04,2019-10-24
Eric Swalwell,2020,Democrat,2019-04-08,2019-07-08
Seth Moulton,2020,Democrat,2019-04-22,2019-08-23
Michael Bennet,2020,Democrat,2019-05-02,2020-02-11
Steve Bullock,2020,Democrat,2019-05-14,2019-12-02
Bill de Blasio,2020,Democrat,2019-05-16,2019-09-20
Joe Sestak,2020,Democrat,2019-06-23,2019-12-01
Tom Steyer,2020,Democrat,2019-07-09,2020-02-29
Joe Walsh,2020,Republican,2019-08-25,2020-02-07
Mark Sanford,2020,Republican,2019-09-08,2019-11-12
Deval Patrick,2020,Democrat,2019-11-14,2020-02-12
Michael Bloomberg,2020,Democrat,2019-11-24,2020-03-04
Hillary Clinton,2016,Democrat,2015-04-12,2016-11-08
Bernie Sanders,2016,Democrat,2015-05-26,2016-07-26
Martin O'Malley,2016,Democrat,2015-05-30,2016-02-01
Lawrence Lessig,2016,Democrat,2015-09-06,2015-11-02
Lincoln Chafee,2016,Democrat,2015-06-03,2015-10-23
Jim Webb,2016,Democrat,2015-07-02,2015-10-20
Donald Trump,2016,Republican,2015-06-16,2016-11-08
John Kasich,2016,Republican,2015-07-21,2016-05-04
Ted Cruz,2016,Republican,2015-03-23,2016-05-03
Marco Rubio,2016,Republican,2015-04-13,2016-03-15
Ben Carson,2016,Republican,2015-05-03,2016-03-04
Jeb Bush,2016,Republican,2015-06-15,2016-02-20
Jim Gilmore,2016,Republican,2015-07-30,2016-02-12
Carly Fiorina,2016,Republican,2015-05-04,2016-02-10
Chris Christie,2016,Republican,2015-06-30,2016-02-10
Rand Paul,2016,Republican,2015-04-07,2016-02-03
Rick Santorum,2016,Republican,2015-05-27,2016-02-03
Mike Huckabee,2016,Republican,2015-05-05,2016-02-01
George Pataki,2016,Republican,2015-05-28,2015-12-29
Lindsey Graham,2016,Republican,2015-06-01,2015-12-21
Bobby Jindal,2016,Republican,2015-06-24,2015-11-17
Scott Walker,2016,Republican,2015-07-13,2015-09-21
Rick Perry,2016,Republican,2015-06-04,2015-09-11
Barack Obama,2012,Democrat,2011-04-04,2012-11-06
Mitt Romney,2012,Republican,2011-06-02,2012-11-06
Ron Paul,2012,Republican,2011-05-13,2012-08-28
Newt Gingrich,2012,Republican,2011-05-03,2012-05-02
Rick Santorum,2012,Republican,2011-04-13,2012-04-10
Buddy Roemer,2012,Republican,2011-03-03,2012-02-22
Rick Perry,2012,Republican,2011-08-13,2012-01-19
Jon Huntsman,2012,Republican,2011-06-21,2012-01-16
Michele Bachmann,2012,Republican,2011-06-13,2012-01-04
Gary Johnson,2012,Republican,2011-04-21,2011-12-28
Herman Cain,2012,Republican,2011-05-21,2011-12-03
Thaddeus McCotter,2012,Republican,2011-07-02,2011-09-22
Tim Pawlenty,2012,Republican,2011-05-23,2011-08-14
Fred Karger,2012,Republican,2011-03-23,2012-06-29
Barack Obama,2008,Democrat,2007-02-10,2008-11-04
Hillary Clinton,2008,Democrat,2007-01-20,2008-06-07
John Edwards,2008,Democrat,2006-12-28,2008-01-30
Bill Richardson,2008,Democrat,2007-05-21,2008-01-10
Joe Biden,2008,Democrat,2007-01-31,2008-01-03
Chris Dodd,2008,Democrat,2007-01-11,2008-01-03
Mike Gravel,2008,Democrat,2006-04-17,2008-03-26
Dennis Kucinich,2008,Democrat,2006-12-12,2008-01-24
Tom Vilsack,2008,Democrat,2006-11-30,2007-02-23
John McCain,2008,Republican,2007-02-28,2008-11-04
Mitt Romney,2008,Republican,2007-02-13,2008-02-07
Mike Huckabee,2008,Republican,2007-01-28,2008-03-04
Ron Paul,2008,Republican,2007-03-12,2008-06-12
Rudy Giuliani,2008,Republican,2007-02-05,2008-01-30
Fred Thompson,2008,Republican,2007-09-05,2008-01-22
Alan Keyes,2008,Republican,2007-09-14,2008-04-15
Duncan Hunter,2008,Republican,2007-01-23,2008-01-19
Tom Tancredo,2008,Republican,2007-04-02,2007-12-20
Sam Brownback,2008,Republican,2007-01-20,2007-10-19
Jim Gilmore,2008,Republican,2007-04-26,2007-07-14
George W. Bush,2004,Republican,2003-05-16,2004-11-02
John Kerry,2004,Democrat,2003-09-02,2004-11-02
John Edwards,2004,Democrat,2003-09-16,2004-03-02
Howard Dean,2004,Democrat,2003-06-23,2004-02-18
Dennis Kucinich,2004,Democrat,2003-10-13,2004-07-22
Wesley Clark,2004,Democrat,2003-09-17,2004-02-11
Al Sharpton,2004,Democrat,2003-01-05,2004-03-15
Joe Lieberman,2004,Democrat,2003-01-13,2004-02-03
Carol Moseley Braun,2004,Democrat,2003-09-23,2004-01-15
Dick Gephardt,2004,Democrat,2003-02-19,2004-01-20
George W. Bush,2000,Republican,1999-06-12,2000-11-07
John McCain,2000,Republican,1999-04-13,2000-03-09
Alan Keyes,2000,Republican,1999-09-21,2000-07-25
Steve Forbes,2000,Republican,1999-03-16,2000-02-10
Gary Bauer,2000,Republican,1999-04-21,2000-02-04
Orrin Hatch,2000,Republican,1999-07-01,2000-01-26
Elizabeth Dole,2000,Republican,1999-03-10,1999-10-20
Pat Buchanan,2000,Republican,1999-03-06,1999-10-25
Lamar Alexander,2000,Republican,1999-03-09,1999-08-16
Dan Quayle,2000,Republican,1999-04-14,1999-09-28
John Kasich,2000,Republican,1999-02-15,1999-07-14
Bob Smith,2000,Republican,1999-02-19,1999-07-12
Al Gore,2000,Democrat,1999-06-16,2000-11-07
Bill Bradley,2000,Democrat,1999-01-12,2000-03-09
